2026-02-12T13:44:18.700 [WARN] [tid=0x1f807e240] [default] [/Users/andrejvysny/andrejvysny/OneCAD/src/app/Logging.cpp:284] [static bool onecad::app::Logging::initialize(const QString &, bool)] Failed to create log directory: /Users/andrejvysny/Library/Application Support/OneCAD/OneCAD/logs
2026-02-12T13:44:18.701 [INFO] [tid=0x1f807e240] [default] [/Users/andrejvysny/andrejvysny/OneCAD/src/app/Logging.cpp:287] [static bool onecad::app::Logging::initialize(const QString &, bool)] Logging initialized logFile= /Users/andrejvysny/andrejvysny/OneCAD/logs/onecad_20260212_134418_700_55254.log logDir= /Users/andrejvysny/andrejvysny/OneCAD/logs debugBuild= true debugLogsEnabled= true
2026-02-12T13:44:18.703 [INFO] [tid=0x1f807e240] [default] [/Users/andrejvysny/andrejvysny/OneCAD/src/app/Logging.cpp:299] [static bool onecad::app::Logging::initialize(const QString &, bool)] Log retention applied days= 30 maxFiles= 30
2026-02-12T13:44:18.703 [INFO] [tid=0x1f807e240] [onecad.main] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:159] [int main(int, char **)] Application startup initiated argc= 1 debugBuild= true
2026-02-12T13:44:18.703 [DEBUG] [tid=0x1f807e240] [onecad.main] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:174] [int main(int, char **)] OpenGL default format configured version= 4 . 1 profile= QSurfaceFormat::CoreProfile samples= 4 depthBufferSize= 24 stencilBufferSize= 8
2026-02-12T13:44:18.707 [INFO] [tid=0x1f807e240] [onecad.main] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:186] [int main(int, char **)] Installed UI event debug logger
2026-02-12T13:44:18.707 [INFO] [tid=0x1f807e240] [onecad.main] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:189] [int main(int, char **)] QApplication created applicationDirPath= "/Users/andrejvysny/andrejvysny/OneCAD/build/OneCAD.app/Contents/MacOS" logFilePath= "/Users/andrejvysny/andrejvysny/OneCAD/logs/onecad_20260212_134418_700_55254.log"
2026-02-12T13:44:18.707 [INFO] [tid=0x1f807e240] [onecad.app] [/Users/andrejvysny/andrejvysny/OneCAD/src/app/Application.cpp:31] [bool onecad::app::Application::initialize()] Initializing application metadata
2026-02-12T13:44:18.707 [DEBUG] [tid=0x1f807e240] [onecad.app] [/Users/andrejvysny/andrejvysny/OneCAD/src/app/Application.cpp:38] [bool onecad::app::Application::initialize()] Application metadata set name= "OneCAD" version= "0.1.0" organization= "OneCAD" domain= "onecad.app"
2026-02-12T13:44:18.707 [INFO] [tid=0x1f807e240] [onecad.app] [/Users/andrejvysny/andrejvysny/OneCAD/src/app/Application.cpp:45] [bool onecad::app::Application::initialize()] Application initialized
2026-02-12T13:44:18.707 [INFO] [tid=0x1f807e240] [onecad.main] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:200] [int main(int, char **)] Dependency versions occt= 7.9.1
2026-02-12T13:44:18.707 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(15) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.707 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QMainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.708 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(152) receiverClass= QMainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.708 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(33) receiverClass= onecad::ui::MainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.709 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(71) receiverClass= QApplication receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.709 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QStyleSheetStyle receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.710 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QApplication receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.710 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(100) receiverClass= onecad::ui::MainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.710 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(170) receiverClass= onecad::ui::MainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.710 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(39) receiverClass= onecad::ui::MainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.711 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(100) receiverClass= onecad::ui::MainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.711 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(100) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.711 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= onecad::ui::MainWindow receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.711 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(21) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.711 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(15) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.711 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(39) receiverClass= QMenuBar receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.711 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(109) receiverClass= QMenuBar receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.712 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(100) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.712 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QMenuBar receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.712 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(21) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.712 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(15) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.712 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(39) receiverClass= QAbstractButton receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.712 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(39) receiverClass= QAbstractButton receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.713 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= Hide receiverClass= QToolButton receiverObjectName= qt_menubar_ext_button accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(27) receiverClass= QToolButton receiverObjectName= qt_menubar_ext_button accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(100) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QMenuBar receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(21) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
